"region_final1","date","specimen","h3n2","h3n2_LL","h3n2_UL","bv","bv_LL","bv_UL"
"Southeast Asia",2000-12-11,5,0.5,0.025,0.975,0,0,0
"Southeast Asia",2000-12-25,14,0.5,0.025,0.975,0,0,0
"Southeast Asia",2001-01-01,12,0,0,0,0.5,0.025,0.975
"Southeast Asia",2001-01-08,11,0,0,0,0,0,0
"Southeast Asia",2001-01-15,11,0,0,0,0,0,0
"Southeast Asia",2001-01-22,10,1,1,1,0,0,0
"Southeast Asia",2001-01-29,7,0,0,0,0,0,0
"Southeast Asia",2001-02-05,12,1,1,1,0,0,0
"Southeast Asia",2001-02-12,7,0,0,0,0,0,0
"Southeast Asia",2001-02-19,6,0,0,0,0,0,0
"Southeast Asia",2001-02-26,7,0,0,0,0,0,0
"Southeast Asia",2001-03-05,7,0,0,0,0,0,0
